stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1005O00267P0,,Terminal Churchill :: Plataforma Norte,,-22.908874,-43.170562,,,0,1005O00268T0,,,Norte
1005O00218C0,,Academia Brasileira de Letras,,-22.910510,-43.172587,,,0,,,,
1005O00212C0,,ACADEPOL - Academia de Polícia,,-22.910600,-43.193920,,,0,,,,
1005O00259C0,,Catedral Metropolitana,,-22.909364,-43.180294,,,0,,,,
1005O00248C0,,Senado,,-22.910730,-43.188238,,,0,,,,
1005O00364C0,,Ponto Regulador: Castelo :: Linha 265,,-22.908115,-43.170819,,,0,,,,
1005O00367C2,,Ponto Final: Candelária :: Linhas para Zona Norte,,-22.902005,-43.180841,,,0,,,,
1005O00158S0,2EZV,"BRS 4,5: Tomé de Sousa",,-22.903662,-43.187524,,,0,,,,
1005O00159S0,2FFC,"BRS 1,2,3: Tomé de Sousa",,-22.903820,-43.188060,,,0,,,,
1005O00246S0,2GLS,"BRS 1,2,3: Central",,-22.905862,-43.192264,,,0,,,,
1005O00359S0,2H5W,"BRS 5,I: Praça da República",,-22.905052,-43.189782,,,0,,,,
1005O00199C0,,Parada São Bento,,-22.899150,-43.179990,,,0,,,,
1005O00192C0,,Presidente Vargas,,-22.900540,-43.179480,,,0,,,,
1005O00250C0,,Visconde de Inhaúma,,-22.899480,-43.177080,,,0,,,,
1005O00242P0,,Terminal Churchill :: Plataforma Sul,,-22.908986,-43.170703,,,0,1005O00268T0,,,Sul
1005O00263P0,,Terminal Procópio Ferreira :: Plat. Sul,,-22.904988,-43.192317,,,0,1005O00377T9,,,Sul
1005O00228C0,,Terminal Jamil Amiden :: Linhas 217 e 249,,-22.908810,-43.179380,,,0,,,,
1005O00236C0,,Terminal Jamil Amiden :: Ônibus Executivos,,-22.909170,-43.180480,,,0,,,,
1005O00172C0,,Ponto Final: Praça Tiradentes,,-22.907310,-43.183000,,,0,,,,
1005O00227C0,,Terminal Jamil Amiden :: Linha 229,,-22.908370,-43.178130,,,0,,,,
1005O00361C0,,Ponto Final: Castelo :: Linha 361,,-22.905260,-43.176480,,,0,,,,
1005O00369C2,,Ponto Final: Candelária :: Linha 328,,-22.902674,-43.182390,,,0,,,,
1005O00372C1,,Ponto Final: Candelária :: Linha 369,,-22.901438,-43.180650,,,0,,,,
1005O00377T9,,Terminal Procópio Ferreira,,-22.904806,-43.192141,,,1,,,,
1005O00260C0,,Franklin Roosevelt :: Pista Esquerda,,-22.909570,-43.170460,,,0,,,,
1005O00208C0,,Franklin Roosevelt :: Pista Direita,,-22.909520,-43.170670,,,0,,,,
1005O00370C1,,Ponto Final: Candelária :: Linhas 388 e SR388,,-22.901944,-43.182203,,,0,,,,
1006O00013S9,2BF2,"BRS 1,2,3,4,I: Marquês de Sapucaí",,-22.914230,-43.196330,,,0,,,,
